Landmark_Id,Destination,Landmark_Name,Description,Image_Url
11,Aseer,Rijal Heritage Village,"Embark on a timeless journey to Rijal Heritage Village, a gem just 45 km from Abha. This stunning village, with its vibrant stone buildings and unique architecture, showcases 700 years of history. Recognized globally as one of the best tourist villages, Rijal is a treasure trove of cultural tales and rare exhibits.",https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/12/7d/09/45.jpg
12,AlUla,Preserved tombs and ancient wonders at Hegra,"Saudi Arabia's first UNESCO World Heritage Site, Hegra reveals the fascinating Nabataean history with over 110 preserved tombs and ancient wonders. It offers a captivating glimpse into AlUla's rich heritage, making it an essential destination for anyone exploring AlUla.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Hegra%2C_Al-Ula%2C_Saudi_Arabia.png/250px-Hegra%2C_Al-Ula%2C_Saudi_Arabia.png
13,AlUla,Elephant Rock,"Get up close to AlUla's beloved Elephant Rock, a special landmark and must-see spot. This natural marvel, shaped by millions of years of erosion, rises 52 meters high. Enjoy its magical presence at dusk, bathed in warm crimson light, while warming up by a fire pit nearby.",https://mysauditours.com/assets/images/detailslider/hegra-elephant-rock-and-old-town-al-ula-2.jpg
14,AlUla,AlUla Old Town Village,"A crossroads of civilisations and oasis city on incense-trading routes, people have inhabited AlUla for thousands of years. By preserving its rich heritage and continuing to flourish as a rural tourist destination, it has been awarded Best Tourism Village by the United Nations World Tourism Organization. Today, AlUla Old Town Village encompasses its ancient Old Town, the lush Oasis and the AlJadidah Arts District.",https://cdn1.matadornetwork.com/blogs/1/2023/09/alula-old-town-tourists.jpg
15,Jeddah,Tayebat Museum,"Jeddah has a history that predates modern Arabia. As one of the Gulf oldest seaports and the gateway to the holy city of Makkah, Jeddah has been welcoming the world for centuries which has helped transform the city into the culturally rich melting pot it is today. For a fascinating look into Jeddah long and cosmopolitan past, take a trip to the Tayebat Museum for a superbly curated representation of the cityÂs 2,500-year history. Located in the Al Faisaliyah district, the museum is housed in a multiroom complex that re-creates the traditional Hijazi architecture of the old city, with bay windows overlaid with intricate wooden lattice work and ornate coral masonry. With several floors of in-depth exhibits, the museum offers a living history lesson on the foundation of Jeddah, Saudi Arabia and the wider Arabian Peninsula. There is also an entire floor dedicated to the cityÂs rich Islamic heritage.",https://blue-page-photo.s3.amazonaws.com/1736757051001e2716406-e10d-48d5-ab12-9b39af36408c.jpg
16,Jeddah,Historic Jeddah,"Before naming it as the royal seaport for Makkah at 657 AD, the Al-Balad site, Historic Jeddah, was built on beautiful coastal land. It gathered people from all cultures and walks of life throughout the ages. This part of the world unveils a human heritage whose walls challenged different historical factors with eight gates; each is known for its historical stories. In addition, it holds more than 10 ancient houses praised for their distinctive designs and the names of their ancient families. Here, you will get the coziest photographs.",https://www.arabnews.jp/en/wp-content/uploads/sites/2/2021/09/2797586-122349254.jpg
17,Tabuk,Tabuk Archaeological Castle,"Tabuk Province is rich with numerous archaeological sites that reveal the history of the area, allowing us to witness symbols of an ancient past, such as Tabuk Archaeological Castle, which dates back over five centuries and is now one of the most important historical castles and tourist landmarks in the region.",https://saudipedia.com/var/site/storage/images/9/7/2/1/6421279-1-eng-GB/4dcfa1db2ac5-100408.jpg
18,Madinah,Mount Uhud,"It is a majestic mountain that had a special place to the Prophet, blessings and peace be upon him, who said: ""Uhud is a mountain that loves us and we love it.""",https://scth.scene7.com/is/image/scth/uhud-mount-1:crop-760x570?defaultImage=uhud-mount-1
19,Madinah,Hijaz Railway Museum,"The museum is considered one of the historical tourist destinations in Madinah. It was established in 1419 AH, corresponding to 1998 AD, and was inaugurated by Prince Abdulmajeed ibn Abdulaziz. It is located on Omar ibn Al-Khattab St, King Abdulaziz Square in Anbariya. It is about 1,020 meters away from the Prophet Mosque.",https://hblimg.mmtcdn.com/content/hubble/img/medinadestimages/mmt/activities/m_Hejaz_Railway_Museum_1_l_480_640.jpg
20,Al-Ahsa,Historical Sahoud Palace,"Al Ahsa Governorate has an enormous historical inventory that dates back centuries BC. The human civilizations followed one another in Al Ahsa. Being a natural oasis in an ideal location made Al-Ahsa desired by many. However, its people worked to protect it from enemies by building castles and palaces with towers that gave them a comprehensive view of their surroundings. One of the most important protective palaces in Al Ahsa is Sahoud Palace.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGRu2kkD_EalmYixO1rrgzjLJYI1z1dpkbvw&s
21,Al Baha,Thee Ain Historical Village,"Thee Ain Historical Village is located in Al-Makhwah Governorate in Al Baha, on the top of a rugged white mountain overlooking Wadi Rash from the western side, while being surrounded by mountain heights. Thee Ain is about 25 km far from the center of Al-Baha city and is considered one of the most important heritage villages in the Arabian Peninsula. Seeing it from the outside, the village may appear as a single castle. Dating back to the tenth century AH, the village gained its name from a spring that passes through it, pouring from the surrounding mountains. The village includes a small mosque and more than 30 houses, all of which are designed to be contiguous and superimposed on each other due to the village's mountainous nature. The houses are built of volcanic rocks, whereas mud and Mudbrick were used in their interiors. Thee Ain is famous for growing diverse types of fruits and basil, in addition to the high quality of its traditional handicrafts.",https://zamzam-blog.s3.eu-west-1.amazonaws.com/wp-content/uploads/2022/04/Thee-Ain-Village-1-840x450.jpg
22,Hail,Airef Castle,"A'arif Fort stands out with its ancient details and reflects the rich cultural history of the city of Hail. It was built in 1840, and it was named after the mountain on which it was built.",https://aathaar.dewanalkhalij.com/storage//avatars/MqG0b6Daarif-fort.jpg
23,Hail,Al Qishla Castle,"Discover Al-Qashla Castle in Hail, an iconic heritage site that showcases the traditional Najdi architectural style. Built during the reign of King Abdul Aziz in 1360 AH (1941 CE), Al-Qashla stands as a symbol of Hail rich urban heritage. Constructed from clay and stones, the castle features intricate plaster decorations with geometric and floral motifs typical of traditional architecture in the region. Its 12-meter-high cylindrical defensive towers, including four internal ""Al-Sandah"" towers, emphasize its defensive strength. Within, visitors will find two grand gates, a mosque, and rooms adorned with colorful plaster details and engraved doors and windows, making Al-Qashla Castle a masterpiece of Hail architectural legacy.",https://portalcdn.spa.gov.sa/backend/original/202104/739026ae6c2004ce2fe445193e4bf7aa.jpeg
24,Hail,Hatem Al Tai Palace,"Discover Turan Village, located 55 kilometers from Hail. Known as the land of the legendary Arab figure Hatim Al-Tai, Turan celebrates the enduring legacy of his unmatched generosity, immortalized in Arab culture with the phrase, ""More generous than Hatim."" Today, the village preserves remnants of its storied past, including a fortress near the entrance believed to have been Hatim's palace. In the village center, visitors can explore the ruins of an ancient mud palace and a small cemetery with two unusually long graves one of which, stretching 9.5 meters, is believed by locals to be the resting place of Hatim Al-Tai, while the other is thought to belong to his daughter, who is said to have witnessed the dawn of Islam.",https://rs.locationshub.com/up_images/4/sm/3468724.jpg
25,Qassim,Oqilat Museum,"You cannot learn the history of a region without visiting its museums and historical sites, as museums represent a wonderful means of showcasing heritage and transferring it to future generations. During your visit to the Qassim region, you may find a great opportunity to learn about the region's heritage and culture by visiting the Al-Oqilat Museum.",https://mezwlah-production-uploads.s3.eu-central-1.amazonaws.com/uploads/0000/1/2025/03/08/ysdbthlk.jpg
26,Jazan,Al Dosariyah Castle,"The historic Al Dosariyah Castle is located on a mountain overlooking the port of Jazan. It was built in 1933 for military purposes, and its elevated location provides a clear aerial view of the port and the horizon. The castle was built with a military character and defensive systems such as protection walls installed at the entrances, an observation room on the upper floor, and openings in the walls for observation and shooting.",https://saudipedia.com/var/site/storage/images/4/5/5/2/7342554-1-eng-GB/ca30ff831e85-100424.jpg
27,Diriyah,At-Turaif,"Stunning mud-brick palaces, mosques, and homes make up this UNESCO World Heritage site. Today, the district has been carefully restored to its former glory. Museums tell the story of the earliest settlers to this region, highlight the history of the Saudi state, and delve into the unique Najdi and Islamic architecture.",https://assets-diriyah.diriyah.me/aedacdf96dc343aeb62ad421d60c0bc6?width=3840&quality=80&transform=true&format=webp
